глава,тип,общий вопрос/тема,ответ/объяснение
Предисловие,Цель стандарта,Какова цель Шариатского стандарта №1 о торговле валютой?,"Объяснить постановления Шариата, касающиеся торговли валютой, а также условия и предписания о том, что является дозволенным, а что нет. Стандарт также разъясняет некоторые практики, применяемые исламскими финансовыми институтами."
Предисловие,Определение,"Что подразумевается под термином ""Институт"" в данном стандарте?","Термин ""Институт/Институты"" используется для краткого обозначения исламских финансовых институтов, включая исламские банки."
1,Сфера применения стандарта,Какие вопросы охватывает стандарт по торговле валютой?,Стандарт охватывает вопросы фактического и конструктивного владения валютойиспользование современных средств связиобмен валют в контексте взаимозачета долговоперации на денежных рынкахдвусторонние обещания купли-продажи валютыотсрочку поставки и некоторые практики Институтов.
1,Сфера применения стандарта,Какие вопросы не охватываются стандартом по торговле валютой?,Стандарт не охватывает случаигде нет торговли валютойвлияние ювелирного дела при продаже золота и серебраперевод долгов без обмена валюты и дисконтирование векселей.
2/1,Постановление Шариата,Каково общее постановление Шариата о торговле валютой?,Торговля валютой дозволена (разрешена) при условии соблюдения определенных правил и предписаний Шариата.
2/1/1,Условие,Каково условие владения при обмене валют?,Обе стороны должны вступить во владение обмениваемыми суммами (встречными стоимостями) до тогокак они разойдутся. Владение может быть как фактическимтак и конструктивным.
2/1/2,Условие,Каково условие при обмене одной и той же валюты?,Суммы одной и той же валюты должны быть равныдаже если одна из них в виде банкнотыа другая в виде монеты (напримербанкнота в один фунт на монету в один фунт).
2/1/3,Условие,Допускаются ли в договоре обмена валюты условные опционы или отсрочка поставки?,Нетдоговор не должен содержать никаких условных опционов или положений об отсрочке поставки одной или обеих обмениваемых сумм.
2/1/4,Условие,Каковы условия относительно целей валютных операций?,Валютные операции не должны быть направлены на установление монопольного положения и не должны влечь за собой пагубных последствий для интересов отдельных лиц или общества.
2/1/5,Постановление Шариата,Разрешены ли валютные операции на форвардном или фьючерсном рынке?,Нетвалютные операции не должны осуществляться на форвардном или фьючерсном рынке.
2/2,Постановление Шариата,Разрешено ли заключать форвардные валютные контракты?,"Запрещено заключать форвардные валютные контракты, независимо от того, осуществляются ли они через обмен отсроченных переводов долга или через исполнение отсроченного контракта без одновременного вступления во владение обеими сторонами."
2/3,Постановление Шариата,Разрешено ли работать на форвардном валютном рынке с целью хеджирования?,"Запрещено работать на форвардном валютном рынке, даже если целью является хеджирование для избежания убытков по сделке в валюте, стоимость которой может снизиться."
2/4,Постановление Шариата,Какие способы хеджирования от будущего обесценивания валюты разрешены?,Институт может хеджироваться путем заключения взаимных беспроцентных займов в разных валютах или путем продажи товаров в кредит (Мурабаха) в валюте риска.
2/4/1,Условие,Каковы условия для хеджирования через взаимные беспроцентные займы?,Можно заключать взаимные (back-to-back) беспроцентные займы в разных валютах без получения или предоставления какой-либо дополнительной выгодыпри условиичто эти два займа не связаны между собой по договору.
2/4/2,Постановление Шариата,Как можно хеджировать риск по кредиторской задолженности?,Если риск связан с кредиторской задолженностьюможно продать товары в кредит или по сделке Мурабаха в валютев которой номинирован риск.
2/5,Постановление Шариата,"Можно ли оплачивать взносы по кредитной сделке (например, Мурабаха) в другой валюте?",ДаИнститут и клиент могут договориться во время погашения взносовчто платеж будет произведен в другой валюте по спотовому обменному курсу на день платежа.
2/6/1,Условие,Какое требование к владению при заключении договора купли-продажи валюты?,При заключении договора на продажу определенной суммы валютынеобходимо вступить во владение всей суммойявляющейся предметом договорав момент завершения сделки.
2/6/2,Постановление Шариата,Достаточно ли частичного владения или владения только одной стороной для действительности сделки?,"Нет, вступление во владение одной из сумм без вступления во владение другой недостаточно. Частичное вступление во владение также недостаточно. Сделка будет действительна только в отношении той части, по которой владение было полным."
2/6/3,Характеристика,Какие формы владения существуют при обмене валют?,Владение может быть как физическим (фактическим)так и конструктивным. Форма вступления во владение активами зависит от их природы и обычной деловой практики.
2/6/4,Определение,Что такое физическое владение?,Физическое владение происходит путем одновременной передачи из рук в руки.
2/6/5,Определение,Что такое конструктивное владение?,Конструктивное владение считается состоявшимсякогда продавец предоставляет другой стороне возможность получить актив и распоряжаться имдаже если физического получения не произошло.
2/6/5 (a),Характеристика,Какие существуют примеры конструктивного владения через зачисление на счет?,Примером является зачисление денежной суммы на счет клиентанапримерпри прямом депозитепри спот-обмене валюты со счета клиента или при дебетовании одного счета и кредитовании другого по поручению клиента.
2/6/5 (a),Постановление Шариата,Допускается ли задержка при переводе средств после обмена?,"Допускается задержка в осуществлении перевода, соответствующая практике, согласно которой получатель может получить фактическое поступление средств. Однако получатель не имеет права распоряжаться валютой в период перевода, пока банковский перевод не будет завершен."
2/6/5 (b),Характеристика,Является ли получение чека конструктивным владением?,Даполучение чека является конструктивным владениемпри условиичто на счете эмитента имеется достаточный баланс в валюте чекаи Институт заблокировал этот баланс для оплаты.
2/6/5 (c),Характеристика,Является ли получение торговой точкой ваучера кредитной карты конструктивным владением?,Даполучение торговой точкой ваучераподписанного держателем кредитной картыявляется конструктивным владением суммойуказанной в купонепри условиичто институт-эмитент карты выплатит эту сумму без отсрочки.
2/7/1,Постановление Шариата,Можно ли назначать агента для совершения сделки по продаже валюты?,Даразрешено назначать агента для заключения договора купли-продажи валюты с полномочиями на вступление во владение и передачу встречной стоимости.
"2/7/2, 2/7/3",Постановление Шариата,Можно ли уполномочить агента только на продажу валюты или только на вступление во владение?,Даможно назначить агента для продажи валютне уполномочивая его на вступление во владениепри условиичто принципал или другой агент вступает во владение в момент завершения сделки. Также можно уполномочить агентов на вступление во владение после заключения договора. Главноечтобы владение было завершено до тогокак принципалы разойдутся.
2/8/1,Юридическое обоснование,"Каков статус договора, заключенного удаленно с использованием современных средств связи?",Двусторонний договорзаключенный между двумя сторонами в разных удаленных местах с использованием современных средств связиимеет те же юридические последствиячто и заключение договора в одном и том же месте.
2/8/2,Условие,Каковы условия заключения договора при использовании удаленной связи?,Офертасделанная на определенный срок и переданная по каналам связиостается обязательной для оферента в течение этого периода. Договор считается заключенным только после акцепта и вступления обеих сторон во владение (фактическое или конструктивное) встречными стоимостями.
2/9/1,Постановление Шариата,Разрешено ли двустороннее обязывающее обещание купли-продажи валют?,Двустороннее обещание купли-продажи валют запрещеноесли оно является обязывающимдаже в целях хеджирования. Однако обещание одной стороны разрешенодаже если оно обязывающее.
2/9/2,Постановление Шариата,Разрешены ли параллельные операции купли-продажи валют?,"Нет, параллельная купля-продажа валют не разрешена, так как она включает в себя один из следующих недействительных факторов: отсутствие поставки и получения валют (что равносильно отсроченной продаже), обусловленность одного договора обмена другим или обязывающее двустороннее обещание."
2/9/3,Постановление Шариата,Может ли партнер в Мушарака или Мудараба гарантировать другого партнера от валютных рисков?,"Нет, не разрешается одному из партнеров в Мушарака или Мудараба выступать гарантом для другого партнера для защиты от рисков, связанных с торговлей валютой. Однако третья сторона может добровольно выступить гарантом, при условии, что эта гарантия не указана в договоре."
2/10,Постановление Шариата,"Разрешен ли обмен валют, которые являются долгами сторон друг другу?",Даобмен суммами в разных валютахкоторые являются взаимными долгамиразрешенесли это приводит к погашению обоих долгов (взаимозачету) и исполнению обязательств по этим долгам.
2/10/1,Определение,Что такое аль-Мукасса (взаимозачет)?,Это погашение двух долговкогда одна сторона должна другой сумму в одной валюте (напримердинар)а вторая сторона должна первой сумму в другой валюте (напримердирхам). Стороны могут договориться об обменном курсе для полного или частичного погашения долгов.
2/10/2,Постановление Шариата,"Может ли кредитор принять погашение долга в валюте, отличной от валюты долга?",Дакредитор может принять погашение долга в валютеотличной от тойв которой долг был номинированпри условиичто расчет производится как спотовая транзакция по спотовому обменному курсу на день расчета.
2/11,Постановление Шариата,"Разрешено ли осуществлять денежный перевод (remittance) в валюте, отличной от предоставленной клиентом?","Да, это разрешено. Такая операция состоит из обмена валюты (через фактическое или конструктивное владение) с последующим переводом купленной валюты. Институту разрешено взимать комиссию за перевод."
2/12/1,Постановление Шариата,"Разрешено ли клиенту торговать валютой на сумму, превышающую его собственные средства, используя кредит от Института?",Нетне разрешается клиенту Института торговать валютой на суммупревышающую его собственные средстваиспользуя кредитные средствапредоставленные этим же Институтомкоторый обрабатывает сделку.
2/12/2,Постановление Шариата,"Может ли Институт предоставить клиенту кредит с условием, что торговля валютой будет осуществляться только через этот Институт?","Нет, не разрешается предоставлять кредит с условием, что торговля валютой должна осуществляться только через этот Институт. Если такого условия нет, то запрета по Шариату нет."
Приложение (B),Основа Шариата / Хадис,Какой хадис является основой для правил обмена валют?,"Хадис от Убады ибн ас-Самита, в котором Пророк (мир ему) сказал: ""Золото за золото, серебро за серебро... равное за равное, подобное за подобное, из рук в руки. Если же виды активов различаются, то продавайте, как хотите, при условии, что это происходит из рук в руки""."
Приложение (B),Основа Шариата / Хадис,Какой хадис запрещает отсрочку при обмене золота?,"Хадис от Абу Са'ида аль-Худри, в котором Пророк (мир ему) сказал: ""Не продавайте золото за золото, кроме как равное за равное, и не продавайте то, что отсрочено, за спотовую сделку""."
